Id,Label,timeset,count,modularity_class
QtvRJfEb3ufR75p6LfpmOQ,123 GO! Portuguese,,6280000,342
R-Y4lWmrCYbr1XavmNMlvQ,Canal Clash War,,7790000,41
RKMoImiahCNu833HVQVhBA,Luiza Parente,,4520000,5
RbXS1MKrZ55Vm5G9336BKw,Receitas Da Cris,,5750000,483
Robertapupi,Roberta Pupi,,6610000,339
SempreGlamour,Jana Taffarel,,5380000,26
Showtirullipa,Tirullipa Show,,4900000,363
T-QobdGYczKTSuWAQbQFAA,Operação Cinema,,5520000,30
TCykZFeSbgMuL2ZzhSyVzg,GIOH,,4920000,26
TRQblH_muP2X68UsLwFmBg,ProSidu,,5900000,20
Taafuck,Afreim,,8070000,374
TauzOficial,Tauz,,9240000,39
TheCraftanos,Vilhena,,4580000,23
TheCreepersOficial,Spok,,5600000,25
V8vyJ4d_NFtfLBift3Uehg,Ritmo dos Fluxos By Detona Funk,,7030000,21
VNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,,6050000,483
VenomExtreme,VenomExtreme,,6770000,14
Viniccius13,viniccius13,,5330000,417
Virosgamer,Viros,,5830000,344
YCMK_puWK2V5AtdQNIOnhw,Gabriel Monteiro,,4790000,360
YCnGi1DXHvHlffFY7pEDmQ,Minguado,,7290000,424
Zefelipecantor,Zé Felipe,,5430000,22
ZtOF_W8L82GcENIOGpSPDg,Jaqueline Sobrinho,,5750000,5
amandadomenico2,Amanda Domenico,,4610000,26
aruanhf,Aruan Felix,,5440000,374
bIV7t22dH_d75fv1GP56zA,Jon Vlogs,,6520000,374
baixamemoria,BaixaMemoria,,5400000,25
barbiepahetaci,Taciele Alcolea,,5930000,26
blogdaflavinha,Flavia Pavanelli,,5050000,26
boomoficial,Canal BOOM,,6610000,24
brancoala,Brancoala,,9540000,325
brunoberti10,Irmãos Berti,,9180000,5
brunoemarrone,Bruno e Marrone,,5240000,27
c5gPU-GOoiXnOgaliQjiYA,Nilson Izaias Papinho Oficial,,5260000,379
c6QyDjq9eXr4hzx_6ucY0Q,Felipe Araújo,,5100000,370
canalcaracolraivoso,Caracol Raivoso,,9740000,35
canalinutilismo,Inutilismo,,4620000,326
canalparafernalha,Parafernalha,,12500000,8
casaldenerd,CasalDeNerd,,5180000,23
cronosplays,Cronos,,6000000,333
culinariaemcasa,Culinária em Casa,,7080000,483
dayansiebra,Dr. Dayan Siebra,,5920000,483
descealetra,Caue Moura,,5190000,28
desconfinados,Canal Desconfinados,,4590000,427
djtomproductions,Funk e ton,,6770000,9
djzoi0,Everson Zoio,,12800000,34
ediretoaoponto,Deive Leonardo,,6160000,483
einerdtv,Ei Nerd,,11700000,420
electronicdesirege,alanzoka,,7050000,24
euficoloko2,Christian Figueiredo,,7510000,327
evelynregly,Evelyn Regly,,4540000,26
falaidearo,Falaidearo,,4770000,30
febatistacraft,Febatista,,4580000,31
fk5MMR4k6ulPmvvzkGe5kg,Treta News,,4920000,34
fla1982,Flavia Calina,,7930000,26
flakestwitch,Flakes Power,,6030000,24
flamengo,FLA TV,,6270000,10
g7V2I5d2A-B6-i3bu9yWSg,LOUD THURZIN,,5520000,398
gabrielaroficial,Gabriela Rocha,,7260000,328
gahmarin,GahMarin,,5730000,333
gameplayrj,Gameplayrj,,8260000,384
gcSEE14szGjn_AhAopX1Jw,Rafael Chocolate,,4530000,33
h7TUTXojlE8vRtb-EnuDzw,Metaforando,,5070000,359
i0aSU3x06FHJ2hUHgc0_Xw,Zoio Do dia,,4750000,34
i3Jaq38GmVrCKBy5ZVlEwQ,Thai e Biel,,6180000,336
iShowGamer,IShow,,6330000,336
iberethenorio,Manual do Mundo,,14800000,358
iggyazaleamusicvevo,iggyazaleamusicVEVO,,4930000,498
in27y4I7zoV9zKojOBOn1A,Patricia Elias,,5740000,483
jvnq,jvnq,,5970000,388
lubatv,LubaTV,,8410000,326
lucasluccooficial,Lucas Lucco,,6410000,340
malena010102,malena010102,,6180000,7
mamilosmolengas,Mussoumano,,9160000,379
manopiveta,Marcos Piveta,,8350000,35
marcoscct,Castro Brothers,,4460000,394
mckevinhooficial,Kevinho,,6270000,375
moonkase,MoonKase,,7730000,31
